"Current atomic activity title","Linked O*NET descriptions"
"Maintain Record","216"
"Prepare Report","211"
"Operate Equipment (Synonyms: Control Equipment)","209"
"Maintain Equipment","159"
"Analyze Datum (Synonyms: Examine Datum, Study Datum)","141"
"Create Plan (Synonyms: Develop Plan, Make Plan)","138"
"Conduct Research","133"
"Direct Activity","125"
"Perform Duty","125"
"Provide Assistance","115"
"Coordinate Activity (Synonyms: Devise Activity)","114"
"Supply Information (Synonyms: Furnish Information, Provide Information)","108"
"Inspect Equipment","99"
"Create Procedure (Synonyms: Develop Procedure)","94"
"Collect Datum (Synonyms: Compile Datum)","92"
"Clean Equipment","90"
"Record Datum","82"
"Prepare Material (Synonyms: Set_Up Material)","80"
"Repair Equipment","77"
"Operate Machine (Synonyms: Control Machine)","76"
"Oversee Work (Synonyms: Supervise Work)","75"
"Select Material","75"
"Create Program (Synonyms: Develop Program, Produce Program)","74"
"Write Report (Synonyms: Compile Report, Compose Report)","73"
"Plan Activity (Synonyms: Organize Activity)","70"
"Participate Activity","67"
"Provide Service (1)","66"
"Clean Area","64"
"Prepare Equipment (Synonyms: Set_Up Equipment)","64"
"Attend Meeting","62"
"Install Equipment","62"
"Record Information","62"
"Design System","61"
"Document Record (Synonyms: Keep Record)","59"
"Advise Student (Synonyms: Counsel Student)","58"
"Order Supply","58"
"Perform Repair (Synonyms: Make Repair)","58"
"Plan Program","58"
"Monitor Operation","56"
"Serve Committee","56"
"Teach Student (Synonyms: Instruct Student, Prepare Student)","56"
"Answer Question (Synonyms: Respond Question)","55"
"Conduct Test","55"
"Provide Support","55"
"Oversee Activity (Synonyms: Supervise Activity)","53"
"Assign Work","52"
"Replace Part","52"
"Test Equipment","52"
"Adjust Control","51"
"Measure Performance (Synonyms: Assess Performance, Evaluate Performance)","51"
"Oversee Staff (Synonyms: Supervise Staff)","51"
"Write Proposal","51"
"Create Strategy (Synonyms: Develop Strategy)","50"
"Develop Method","50"
"Create Model (Synonyms: Develop Model, Produce Model)","49"
"Adjust Equipment","48"
"Analyze Information (Synonyms: Examine Information, Study Information)","48"
"Perform Maintenance","48"
"Select Supply","48"
"Implement Program","46"
"Review Report","46"
"Estimate Cost","45"
"Collect Sample","44"
"Perform Task","44"
"Repair Part","44"
"Acquire Material (Synonyms: Obtain Material, Procure Material)","43"
"Evaluate Work","43"
"Train Staff","43"
"Perform Activity (Synonyms: Engage Activity, Execute Activity)","42"
"Administer Test","41"
"Confer Personnel (Synonyms: Consult Personnel)","41"
"Enforce Rule","41"
"Keep Abreast","41"
"Advise Client (Synonyms: Counsel Client)","40"
"Collect Information (Synonyms: Compile Information)","40"
"Create Material (Synonyms: Develop Material, Produce Material)","40"
"Grade Work","40"
"Maintain Inventory","40"
"Prepare Document","40"
"Conduct Study","39"
"Create Policy (Synonyms: Develop Policy)","39"
"Get Information (1) (Synonyms: Obtain Information, Procure Information)","39"
"Acquire Supply (Synonyms: Obtain Supply)","38"
"Explain Procedure (Synonyms: Interpret Procedure)","38"
"Participate Event","38"
"Select Equipment","38"
"Perform Test (Synonyms: Execute Test)","37"
"Revise Material","37"
"Advise Other (Synonyms: Counsel Other)","36"
"Compile Bibliography","36"
"Grade Assignment","36"
"Implement Procedure","36"
"Read Order","36"
"Administer Examination","35"
"Attend Conference","35"
"Collaborate Issue","35"
"Evaluate Curricula","35"
"Explain Result (Synonyms: Interpret Result)","35"
"Grade Examination","35"
"Maintain Hour","35"
"Plan Curricula","35"
"Publish Finding","35"
"Turn Valve","35"
"Act_As Adviser","34"
"Compile Examination","34"
"Facilitate Discussion","34"
"Initiate Discussion","34"
"Maintain Knowledge","34"
"Moderate Discussion","34"
"Perform Adjustment (Synonyms: Make Adjustment)","34"
"Revise Content","34"
"Revise Curricula","34"
"Revise Method","34"
"Bore Hole (Synonyms: Drill Hole)","33"
"Confer Customer (Synonyms: Consult Customer)","33"
"Deliver Lecture","33"
"Direct Worker","33"
"Furnish Advice (Synonyms: Provide Advice)","33"
"Inspect Facility","33"
"Perform Analysis","33"
"Prepare Lecture","33"
"Resolve Problem","33"
"Observe Operation (Synonyms: Detect Operation)","32"
"Perform Procedure","32"
"Refer Patient","32"
"Advise Patient (Synonyms: Counsel Patient)","31"
"Analyze Record (Synonyms: Examine Record, Study Record)","31"
