,job_id,title,company,location,job_function,industry,experience_level,raw_skill,matched_skill,subcategory,category,similarity
850,394874725,Program Coordinator Greater Orlando UBMS,Morehouse College National Alumni Association,"Atlanta, GA",Health Care Provider,Hospitals and Health Care,Entry level,"[{'name': 'Student recruitment', 'description': 'Identifying and enrolling eligible students into the program; outreach to schools, families, and communities.'}, {'name': 'Program coordination & administration', 'description': 'Planning, implementing, monitoring, and evaluating program activities; coordinating with school staff and partners to deliver services that meet grant objectives.'}, {'name': 'Tutoring coordination', 'description': 'Organizing and managing a tutoring initiative, including scheduling, matching tutors and students, and tracking progress.'}, {'name': 'Event & activity planning', 'description': 'Designing and executing workshops, college visits, cultural and career tours, and the summer program for participants.'}, {'name': 'Family & community engagement', 'description': 'Engaging parents and families through workshops and communications to support participant success.'}, {'name': 'Written and oral communication', 'description': 'Strong interpersonal, written and verbal skills for communicating with students, parents, school staff, and funding agencies; report writing.'}, {'name': 'Report preparation & grant compliance', 'description': 'Preparing internal and external status reports and ensuring compliance with funding agency requirements, including preparing the Department of Education Annual Performance Report (APR).'}, {'name': 'Data analysis & reporting', 'description': 'Generating daily/weekly/monthly demographic and contact reports, analyzing data, and maintaining spreadsheets and databases to track program outcomes.'}, {'name': 'Computer literacy (Microsoft Office)', 'description': 'Proficient use of Microsoft Office applications (e.g., Word, Excel, PowerPoint) for documentation, reporting, and data management.'}, {'name': 'Database management', 'description': 'Using and maintaining the project database and other databases to generate reports and store participant data.'}, {'name': 'Social media & outreach/advertising', 'description': 'Using social media and other advertising methods to improve program visibility, recruitment, and communication.'}, {'name': 'Organization & time management', 'description': 'Ability to manage multiple assignments concurrently, prioritize tasks, and complete projects independently with initiative.'}, {'name': 'Adaptability & problem solving', 'description': 'Capacity to work independently, respond flexibly to changing events, and modify program goals or activities based on student needs and resources.'}, {'name': 'Cultural competency', 'description': 'Ability to work effectively with students from diverse academic, cultural, and socio-economic backgrounds.'}, {'name': 'Judgment & discretion', 'description': 'Applying sound judgment and maintaining discretion when handling sensitive student and program information.'}]",Reporting and Analysis,Data Analysis,Analysis,0.552
6307,418055270,Investment Associate,Fidelity Investments,"Boston, MA",Finance and Sales,Financial Services,Entry level,"[{'name': 'Financial modeling', 'description': 'Designing, building and maintaining detailed financial models for prospective and portfolio investments, including cash flow forecasting and scenario/sensitivity analysis.'}, {'name': 'Investment underwriting', 'description': 'Assessing investment opportunities through valuation, risk analysis, assumptions testing, and managing the underwriting process toward investment decisions.'}, {'name': 'Due diligence', 'description': 'Leading and coordinating commercial, financial, legal and operational due diligence activities for potential transactions.'}, {'name': 'Portfolio management', 'description': 'Monitoring portfolio company performance against projections, updating internal models, evaluating add-on acquisition targets, and executing portfolio-level transactions.'}, {'name': 'M&A / Transaction execution', 'description': 'Experience with mergers & acquisitions processes including sourcing, negotiating, executing and integrating transactions (add-ons and direct investments).'}, {'name': 'Quantitative and analytical skills', 'description': 'Strong ability to analyze data, perform quantitative analysis, interpret results, and use findings to inform investment decisions and strategy.'}, {'name': 'Presentation and written communication', 'description': 'Drafting formal investment memos, presentations and stakeholder updates; clear and persuasive oral and written communication skills.'}, {'name': 'Strategic thinking / industry research', 'description': 'Ability to monitor market trends, perform industry research and synthesize insights to inform platform strategy and sourcing.'}, {'name': 'Collaboration and cross-functional coordination', 'description': 'Working with internal teams (accounting, legal, treasury, compliance, HR, marketing) and external management teams to support oversight and business development.'}, {'name': 'Resourcefulness and comfort with ambiguity', 'description': 'Independent problem-solving, ability to operate with high autonomy on a small team and adapt to evolving priorities.'}, {'name': 'Familiarity / interest in natural resources (agriculture, timber, etc.)', 'description': 'Knowledge of or demonstrated interest in agriculture, timber, aggregates, energy, telecommunications or other land/resource sectors is preferred to evaluate sector-specific opportunities.'}, {'name': 'Stakeholder engagement / business development', 'description': 'Identifying and cultivating relationships with operating companies, management teams and investors to support sourcing and platform growth.'}, {'name': 'Travel availability', 'description': 'Willingness to travel approximately 10–20% for board meetings, management meetings, conferences and sourcing activities.'}, {'name': 'Experience level', 'description': '2–4 years of relevant experience in investment management, private equity, investment banking, corporate development, M&A or strategic finance.'}]",Quantitative Analysis,Data Analysis,Analysis,0.552
6965,418052858,Compliance Analyst,SCS Financial,"Boston, MA",Legal,Financial Services,Entry level,"[{'name': 'Compliance testing', 'description': 'Designing and executing tests of the compliance program and controls to ensure adherence to regulatory standards and firm policies.'}, {'name': 'Internal audit support', 'description': 'Assisting with internal audit projects, documenting findings, and following up on remedial actions.'}, {'name': 'Code of Ethics and employee trading reviews', 'description': 'Administering elements of the Code of Ethics, reviewing employee personal trading activity, and preparing required reports.'}, {'name': 'Regulatory filings and reporting', 'description': 'Preparing, reviewing, and filing required regulatory submissions and maintaining required filings.'}, {'name': 'Compliance training design and delivery', 'description': 'Helping design, develop, and deliver firm-wide compliance training to employees.'}, {'name': 'Record keeping and documentation', 'description': 'Maintaining compliance records and documentation for audits, regulatory examinations, and internal reporting.'}, {'name': 'Data analysis', 'description': 'Analyzing large data sets to monitor activity, identify trends or potential issues, and support reviews and reporting.'}, {'name': 'Regulatory knowledge (Investment Advisers Act of 1940)', 'description': 'Familiarity with compliance requirements under the Investment Advisers Act (preferred) and staying current on regulatory developments.'}, {'name': 'Wealth management domain knowledge', 'description': 'Understanding of wealth management concepts relevant to an ultra-high-net-worth / family office environment.'}, {'name': 'Organizational and time-management skills', 'description': 'Ability to manage multiple priorities, organize tasks, and deliver work with precision.'}, {'name': 'Analytical and problem-solving skills', 'description': 'Strong analytical capability to assess issues, draw conclusions, and recommend solutions.'}, {'name': 'Attention to detail and confidentiality', 'description': 'High degree of accuracy and the ability to handle sensitive information with discretion.'}, {'name': 'Written and verbal communication', 'description': 'Clear, professional communication for interacting with colleagues, business partners, and regulators.'}, {'name': 'Stakeholder collaboration', 'description': 'Working effectively with business teams and external stakeholders to address compliance matters.'}, {'name': 'Self-starter / initiative', 'description': 'Comfort operating proactively and independently in a collaborative environment.'}, {'name': 'Microsoft Office proficiency', 'description': 'Proficiency in Microsoft Excel, Word, and Outlook for analysis, reporting, and communication.'}]",Data Analysis,Data Analysis,Analysis,0.625
6966,418052858,Compliance Analyst,SCS Financial,"Boston, MA",Legal,Financial Services,Entry level,"[{'name': 'Compliance testing', 'description': 'Designing and executing tests of the compliance program and controls to ensure adherence to regulatory standards and firm policies.'}, {'name': 'Internal audit support', 'description': 'Assisting with internal audit projects, documenting findings, and following up on remedial actions.'}, {'name': 'Code of Ethics and employee trading reviews', 'description': 'Administering elements of the Code of Ethics, reviewing employee personal trading activity, and preparing required reports.'}, {'name': 'Regulatory filings and reporting', 'description': 'Preparing, reviewing, and filing required regulatory submissions and maintaining required filings.'}, {'name': 'Compliance training design and delivery', 'description': 'Helping design, develop, and deliver firm-wide compliance training to employees.'}, {'name': 'Record keeping and documentation', 'description': 'Maintaining compliance records and documentation for audits, regulatory examinations, and internal reporting.'}, {'name': 'Data analysis', 'description': 'Analyzing large data sets to monitor activity, identify trends or potential issues, and support reviews and reporting.'}, {'name': 'Regulatory knowledge (Investment Advisers Act of 1940)', 'description': 'Familiarity with compliance requirements under the Investment Advisers Act (preferred) and staying current on regulatory developments.'}, {'name': 'Wealth management domain knowledge', 'description': 'Understanding of wealth management concepts relevant to an ultra-high-net-worth / family office environment.'}, {'name': 'Organizational and time-management skills', 'description': 'Ability to manage multiple priorities, organize tasks, and deliver work with precision.'}, {'name': 'Analytical and problem-solving skills', 'description': 'Strong analytical capability to assess issues, draw conclusions, and recommend solutions.'}, {'name': 'Attention to detail and confidentiality', 'description': 'High degree of accuracy and the ability to handle sensitive information with discretion.'}, {'name': 'Written and verbal communication', 'description': 'Clear, professional communication for interacting with colleagues, business partners, and regulators.'}, {'name': 'Stakeholder collaboration', 'description': 'Working effectively with business teams and external stakeholders to address compliance matters.'}, {'name': 'Self-starter / initiative', 'description': 'Comfort operating proactively and independently in a collaborative environment.'}, {'name': 'Microsoft Office proficiency', 'description': 'Proficiency in Microsoft Excel, Word, and Outlook for analysis, reporting, and communication.'}]",Reporting and Analysis,Data Analysis,Analysis,0.598
7018,418058880,WANT YOUR WORK TO MEAN SOMETHING?,Driven Insights,"Gardner, MA",Other,Financial Services,Entry level,"[{'name': 'Insight generation / Data analysis', 'description': 'Ability to analyze data and convert findings into clear, actionable business insights (inferred from responsibility to produce insights).'}, {'name': 'Client advisory / Consulting', 'description': 'Skill in advising clients and helping management leverage insights to drive business outcomes (inferred from text about enabling the business and clients taking advice).'}, {'name': 'Communication & Presentation', 'description': 'Clear written and verbal communication to present insights persuasively to clients and internal stakeholders (inferred need to deliver insights that clients act on).'}, {'name': 'Process adherence / Methodology execution', 'description': 'Ability to learn and follow a proprietary process and systems to produce consistent, high-quality work (explicit reference to proprietary process and systems).'}, {'name': 'Client relationship management / Customer focus', 'description': 'Focused on client outcomes and satisfaction, contributing to a high Net Promoter Score (inferred from mention of firm-wide NPS and clients taking advice).'}, {'name': 'Team collaboration', 'description': 'Work effectively within a team to deliver insights and share systems/process knowledge (inferred from ‘team members love working for Driven Insights’ and collaborative nature).'}]",Data Analysis,Data Analysis,Analysis,0.596
7019,418058880,WANT YOUR WORK TO MEAN SOMETHING?,Driven Insights,"Gardner, MA",Other,Financial Services,Entry level,"[{'name': 'Insight generation / Data analysis', 'description': 'Ability to analyze data and convert findings into clear, actionable business insights (inferred from responsibility to produce insights).'}, {'name': 'Client advisory / Consulting', 'description': 'Skill in advising clients and helping management leverage insights to drive business outcomes (inferred from text about enabling the business and clients taking advice).'}, {'name': 'Communication & Presentation', 'description': 'Clear written and verbal communication to present insights persuasively to clients and internal stakeholders (inferred need to deliver insights that clients act on).'}, {'name': 'Process adherence / Methodology execution', 'description': 'Ability to learn and follow a proprietary process and systems to produce consistent, high-quality work (explicit reference to proprietary process and systems).'}, {'name': 'Client relationship management / Customer focus', 'description': 'Focused on client outcomes and satisfaction, contributing to a high Net Promoter Score (inferred from mention of firm-wide NPS and clients taking advice).'}, {'name': 'Team collaboration', 'description': 'Work effectively within a team to deliver insights and share systems/process knowledge (inferred from ‘team members love working for Driven Insights’ and collaborative nature).'}]",Data Interpretation,Data Analysis,Analysis,0.59
10009,417996605,Private Wealth Associate,AllianceBernstein,"Boston, MA",Finance and Sales,Financial Services,Entry level,"[{'name': 'Analytical skills', 'description': 'Ability to analyze portfolios, interpret capital markets information, support asset-allocation decisions, and perform quantitative portfolio analytics (required).'}, {'name': 'Communication (written & verbal)', 'description': 'Clear, professional written and verbal communication for client interactions, meeting preparation, and collaboration with senior professionals (required).'}, {'name': 'Client relationship building / client service', 'description': 'Develop and maintain relationships with high-net-worth clients and prospects; anticipate and support client servicing needs; provide exceptional client service (required).'}, {'name': 'Teamwork / collaboration', 'description': 'Work effectively with Financial Advisors and senior specialists across the firm to deliver coordinated client solutions and to support business-building efforts (required).'}, {'name': 'Attention to detail', 'description': 'High level of accuracy for account maintenance, portfolio analysis, and client-facing materials; detail-orientation in a fast-paced environment (required).'}, {'name': 'Multitasking and ability to work under pressure', 'description': 'Capacity to manage competing priorities, handle high work volumes, and perform in a fast-paced, rigorous environment (required).'}, {'name': 'Leadership and initiative', 'description': 'Demonstrated leadership experience and ambition; openness to development and career progression (preferred/expected for advancement).'}, {'name': 'Portfolio analysis / wealth planning knowledge', 'description': 'Understanding of portfolio analytics, asset allocation principles, wealth and legacy planning concepts, and trusts & estates fundamentals (to be developed through ADP; preferred if existing).'}, {'name': 'Client service experience (1-2 years)', 'description': 'Prior client service experience, preferably in financial services, is desirable to accelerate success in the role (preferred).'}, {'name': 'Regulatory licensing / industry exams', 'description': 'Familiarity with or willingness to obtain securities licenses (SIE, Series 7, Series 63). The firm will sponsor required exams; having licenses is a plus (preferred).'}]",Data Analysis,Data Analysis,Analysis,0.563
14047,401527771,SAH Registered Nurse Productive,Brown University Health,"Fall River, MA",Health Care Provider,Hospitals and Health Care,Entry level,"[{'name': 'Nursing process', 'description': 'Knowledge and application of assessment, diagnosis, planning, implementation and evaluation as taught in an approved nursing program; used to guide direct patient care and care planning.'}, {'name': 'Direct patient care', 'description': 'Hands-on nursing care provided to patients during assigned work periods, including executing the comprehensive plan of care and responding to patient needs.'}, {'name': 'Age- and culturally-specific care', 'description': 'Ability to tailor nursing care to the developmental, cultural and population-specific needs of patients served by the facility.'}, {'name': 'Clinical data analysis and judgment', 'description': 'Ability to analyze clinical data, synthesize and summarize information, and make informed judgments regarding patient care decisions.'}, {'name': 'Multidisciplinary teamwork', 'description': 'Functioning collaboratively with physicians, allied health professionals and other team members to achieve patient care goals and organizational objectives.'}, {'name': 'Participation in clinical/financial/organizational outcomes', 'description': 'Engaging in activities and initiatives that support clinical quality, cost-effectiveness and broader organizational goals.'}, {'name': 'Specialty area competencies (as applicable)', 'description': 'For certain departments, related experience and specific qualifications or competencies may be required (e.g., specialty clinical skills or certifications).'}, {'name': 'Licensure and life support certifications', 'description': 'Possession of required professional licensure and certifications to provide safe patient care and respond to emergencies.'}]",Data Analysis,Data Analysis,Analysis,0.562
14417,401328752,MH Staff RN I,Brown University Health,"Taunton, MA",Health Care Provider,Hospitals and Health Care,Entry level,"[{'name': 'Patient assessment', 'description': 'Perform initial and ongoing comprehensive assessments, document findings timely and concisely, and use assessment data to guide care planning.'}, {'name': 'Care planning and discharge planning', 'description': 'Develop, modify and implement individualized, comprehensive plans of care including appropriate discharge planning using established standards.'}, {'name': 'Medication administration', 'description': 'Safely administer medications and perform treatments according to hospital policy and aseptic technique.'}, {'name': 'Aseptic technique', 'description': 'Apply principles of asepsis when performing treatments and procedures to prevent infection.'}, {'name': 'Patient and family education', 'description': 'Initiate and coordinate education tailored to identified patient and family needs to support care and discharge.'}, {'name': 'Age-appropriate care', 'description': 'Provide nursing care appropriate to patients of all ages (infant, pediatric, adolescent, adult, geriatric).'}, {'name': 'Clinical decision-making and critical thinking', 'description': 'Exercise independent judgment in routine and emergency situations, evaluate outcomes of interventions, and seek assistance when appropriate.'}, {'name': 'Delegation and team coordination', 'description': 'Delegate responsibilities and assign tasks according to caregiver skills, and integrate/cooperate with interdisciplinary team members.'}, {'name': 'Leadership and supervision', 'description': 'Plan and supervise other caregivers on the unit, act as a professional role model, and participate in orientation and mentoring of staff.'}, {'name': 'Documentation and record-keeping', 'description': 'Document assessments, interventions and patient responses accurately and promptly per hospital policy and electronic systems.'}, {'name': 'Emergency response and advanced life support', 'description': 'Respond to emergent situations effectively and maintain required certifications (BLS/ACLS/PALS) as applicable to unit assignment.'}, {'name': 'Policy and safety compliance', 'description': 'Understand and adhere to hospital and departmental policies and procedures, including safety protocols.'}, {'name': 'Mentoring and education of staff', 'description': 'Assist in orientation of new staff, participate in in-services and contribute to ongoing staff development.'}, {'name': 'Analytical skills', 'description': 'Perform analytical functions related to patient care and make informed clinical decisions with minimal supervision.'}, {'name': 'Electronic health record (EHR) use', 'description': 'Use electronic documentation systems (Meditech preferred) to record patient information and coordinate care.'}]",Data Analysis,Data Analysis,Analysis,0.563
14873,401103841,SAH Registered Nurse,Brown University Health,"Fall River, MA",Health Care Provider,Hospitals and Health Care,Entry level,"[{'name': 'Nursing process', 'description': 'Knowledge and application of assessment, diagnosis, planning, implementation and evaluation of patient care (required).'}, {'name': 'Age‑ and culturally‑specific care', 'description': 'Ability to tailor care to patients across the lifespan and to diverse cultural backgrounds (required).'}, {'name': 'Clinical data analysis and judgment', 'description': 'Ability to analyze, synthesize and summarize clinical information and make sound judgments regarding patient care (required).'}, {'name': 'Multidisciplinary teamwork', 'description': 'Effective collaboration with physicians, therapists and other care team members to achieve care plan goals (required).'}, {'name': 'Patient-centered care and communication', 'description': 'Clear communication with patients/families and ability to implement care consistent with patient needs and preferences (implied/required).'}, {'name': 'Regulatory and safety competencies', 'description': 'Knowledge of standards, protocols and safety practices typically taught in accredited nursing programs (required).'}, {'name': 'Specialty clinical experience', 'description': 'Related experience and qualifications for specific specialty areas may be required (conditional/preferred depending on unit).'}, {'name': 'Resource and outcome awareness', 'description': 'Participation in activities to achieve clinical, financial and organizational outcomes (required).'}, {'name': 'Basic Life Support (BLS) certification', 'description': 'Current BLS required for patient care (required).'}, {'name': 'Advanced Life Support certifications (ACLS/PALS)', 'description': 'ACLS and/or PALS may be required for some departments (conditional/preferred depending on unit).'}]",Data Analysis,Data Analysis,Analysis,0.562
